Designator,Mid X,Mid Y,Layer,Rotation
C1,167.0,-77.6,T,0.0
C10,185.5,-85.75,T,270.0
C11,170.5,-125.4,T,0.0
C12,160.7,-123.5,T,90.0
C13,156.5,-123.3,T,90.0
C14,158.8,-123.3,T,90.0
C15,186.7,-112.3,T,0.0
C16,190.9,-103.8,T,180.0
C17,170.75,-117.6,T,360.0
C18,170.75,-114.3,T,360.0
C19,170.75,-111.0,T,360.0
C2,163.7,-88.6,T,90.0
C20,158.0,-99.5,T,0.0
C21,160.0,-91.0,T,180.0
C22,185.45,-61.5,T,450.0
C23,189.5,-57.0,T,270.0
C24,191.0,-57.0,T,270.0
C25,154.1,-61.6,T,450.0
C26,157.9,-57.025,T,270.0
C27,159.4,-57.0,T,270.0
C28,169.8,-61.6,T,450.0
C29,173.4,-57.0,T,270.0
C3,174.88,-93.4,T,180.0
C30,174.9,-57.0,T,270.0
C31,181.8,-79.4,T,90.0
C32,180.3,-79.4,T,90.0
C33,170.1,-106.1,T,270.0
C34,202.65,-58.2,T,180.0
C35,154.075,-112.9,T,180.0
C36,203.0,-65.2,T,180.0
C37,203.0,-72.2,T,180.0
C4,174.88,-92.4,T,180.0
C5,174.0,-77.5,T,0.0
C6,180.2,-83.0,T,270.0
C7,179.2,-83.0,T,270.0
C8,182.16,-97.8,T,180.0
C9,185.5,-88.5,T,90.0
D1,168.0,-128.0,T,180.0
D10,167.75,-93.3,T,90.0
D11,162.5,-99.8,T,0.0
D2,143.7,-79.3,T,0.0
D3,143.7,-87.3,T,0.0
D4,193.7,-95.0,T,90.0
D5,144.5,-124.2,T,90.0
D6,147.5,-93.0,T,180.0
D7,201.3,-92.2,T,0.0
D8,142.5,-74.4,T,180.0
D9,142.5,-82.35,T,180.0
FB1,185.0,-81.7,T,180.0
J14,142.3,-95.7,T,180.0
L1,180.1,-123.0,T,90.0
Q1,158.2525,-80.5725,T,270.0
Q2,189.1725,-94.0475,T,360.0
R1,179.75,-86.0,T,0.0
R10,161.5,-78.9,T,90.0
R11,200.3,-79.4,T,180.0
R12,198.4,-79.4,T,0.0
R13,155.9,-82.21,T,270.0
R14,154.9,-82.2,T,270.0
R15,207.04,-58.2,T,180.0
R16,205.05,-58.2,T,0.0
R17,151.8,-114.325,T,90.0
R18,151.8,-111.375,T,90.0
R19,207.0,-65.2,T,180.0
R2,172.5,-93.0,T,270.0
R20,187.5,-91.8,T,180.0
R21,205.0,-65.2,T,0.0
R22,189.5,-97.3,T,90.0
R23,190.5,-97.3,T,270.0
R24,161.5,-88.61,T,90.0
R25,207.0,-72.2,T,180.0
R26,205.0,-72.2,T,0.0
R27,198.3,-92.2,T,180.0
R28,145.31,-74.4,T,0.0
R29,145.5,-82.35,T,0.0
R3,176.65,-77.6,T,90.0
R30,167.7,-95.8,T,270.0
R31,159.9,-99.5,T,180.0
R4,171.0,-121.2,T,270.0
R5,170.0,-121.2,T,90.0
R6,169.5,-119.8,T,180.0
R7,200.3,-81.4,T,180.0
R8,198.4,-81.4,T,0.0
R9,160.5,-78.9,T,90.0
U1,171.0,-85.0,T,180.0
U2,188.695001,-108.215001,T,180.0
U3,165.5,-123.5,T,90.0
U4,159.945001,-95.415001,T,180.0
U8,165.9,-106.1,T,180.0
U9,147.8,-95.3,T,180.0
Y1,183.0,-87.15,T,90.0
